"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US220010001-1","1-1, Acadia Parish, Louisiana","802","766","36"
"7000000US220010001-2","1-2, Acadia Parish, Louisiana","805","711","94"
"7000000US220010001-3","1-3, Acadia Parish, Louisiana","787","746","41"
"7000000US220010001-4","1-4, Acadia Parish, Louisiana","718","669","49"
"7000000US220010001-5","1-5, Acadia Parish, Louisiana","604","541","63"
"7000000US220010001-6","1-6, Acadia Parish, Louisiana","651","533","118"
"7000000US220010001-8","1-8, Acadia Parish, Louisiana","521","492","29"
"7000000US220010001-9","1-9, Acadia Parish, Louisiana","564","498","66"
"7000000US220010002-1","2-1, Acadia Parish, Louisiana","664","638","26"
"7000000US220010002-2","2-2, Acadia Parish, Louisiana","446","417","29"
"7000000US220010002-3","2-3, Acadia Parish, Louisiana","594","531","63"
"7000000US220010002-5","2-5, Acadia Parish, Louisiana","366","339","27"
"7000000US220010003-1","3-1, Acadia Parish, Louisiana","556","502","54"
"7000000US220010003-2","3-2, Acadia Parish, Louisiana","544","492","52"
"7000000US220010003-3","3-3, Acadia Parish, Louisiana","952","872","80"
"7000000US220010003-4","3-4, Acadia Parish, Louisiana","608","545","63"
"7000000US220010003-5","3-5, Acadia Parish, Louisiana","495","458","37"
"7000000US220010003-7","3-7, Acadia Parish, Louisiana","672","649","23"
"7000000US220010004-1","4-1, Acadia Parish, Louisiana","483","434","49"
"7000000US220010004-2","4-2, Acadia Parish, Louisiana","578","512","66"
"7000000US220010004-4","4-4, Acadia Parish, Louisiana","819","758","61"
"7000000US220010004-5","4-5, Acadia Parish, Louisiana","574","534","40"
"7000000US220010004-6","4-6, Acadia Parish, Louisiana","467","422","45"
"7000000US220010005-1","5-1, Acadia Parish, Louisiana","245","218","27"
"7000000US220010005-2","5-2, Acadia Parish, Louisiana","288","269","19"
"7000000US220010005-3","5-3, Acadia Parish, Louisiana","476","445","31"
"7000000US220010005-4","5-4, Acadia Parish, Louisiana","270","238","32"
"7000000US220010005-5","5-5, Acadia Parish, Louisiana","161","130","31"
"7000000US220010006-1","6-1, Acadia Parish, Louisiana","877","728","149"
"7000000US220010006-2","6-2, Acadia Parish, Louisiana","448","390","58"
"7000000US220010006-3","6-3, Acadia Parish, Louisiana","463","333","130"
"7000000US220010006-4","6-4, Acadia Parish, Louisiana","979","786","193"
"7000000US220010006-5","6-5, Acadia Parish, Louisiana","306","280","26"
"7000000US220010006-6","6-6, Acadia Parish, Louisiana","671","424","247"
"7000000US220010006-7","6-7, Acadia Parish, Louisiana","1018","830","188"
"7000000US220010006-8","6-8, Acadia Parish, Louisiana","894","740","154"
"7000000US220010007-2","7-2, Acadia Parish, Louisiana","378","339","39"
"7000000US220010007-3","7-3, Acadia Parish, Louisiana","730","643","87"
"7000000US220010007-4","7-4, Acadia Parish, Louisiana","454","423","31"
"7000000US22001006-10","6-10, Acadia Parish, Louisiana","207","186","21"
"7000000US22001006-12","6-12, Acadia Parish, Louisiana","538","511","27"
"7000000US22001006-13","6-13, Acadia Parish, Louisiana","332","305","27"
"7000000US22001006-14","6-14, Acadia Parish, Louisiana","517","461","56"
"7000000US22001006-15","6-15, Acadia Parish, Louisiana","168","158","10"
"7000000US22001006-16","6-16, Acadia Parish, Louisiana","150","133","17"
