"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US22051000001","1, Jefferson Parish, Louisiana","738","731","7"
"7000000US22051000002","2, Jefferson Parish, Louisiana","510","492","18"
"7000000US22051000003","3, Jefferson Parish, Louisiana","372","370","2"
"7000000US22051000004","4, Jefferson Parish, Louisiana","332","321","11"
"7000000US22051000005","5, Jefferson Parish, Louisiana","382","342","40"
"7000000US22051000007","7, Jefferson Parish, Louisiana","470","449","21"
"7000000US22051000008","8, Jefferson Parish, Louisiana","340","321","19"
"7000000US22051000009","9, Jefferson Parish, Louisiana","1425","1244","181"
"7000000US22051000010","10, Jefferson Parish, Louisiana","434","411","23"
"7000000US22051000011","11, Jefferson Parish, Louisiana","814","765","49"
"7000000US22051000012","12, Jefferson Parish, Louisiana","624","612","12"
"7000000US22051000013","13, Jefferson Parish, Louisiana","802","756","46"
"7000000US22051000014","14, Jefferson Parish, Louisiana","255","229","26"
"7000000US22051000015","15, Jefferson Parish, Louisiana","409","397","12"
"7000000US22051000016","16, Jefferson Parish, Louisiana","366","348","18"
"7000000US22051000017","17, Jefferson Parish, Louisiana","1035","975","60"
"7000000US22051000018","18, Jefferson Parish, Louisiana","891","818","73"
"7000000US22051000019","19, Jefferson Parish, Louisiana","418","406","12"
"7000000US22051000020","20, Jefferson Parish, Louisiana","224","220","4"
"7000000US22051000021","21, Jefferson Parish, Louisiana","552","537","15"
"7000000US22051000022","22, Jefferson Parish, Louisiana","624","574","50"
"7000000US22051000023","23, Jefferson Parish, Louisiana","1400","1268","132"
"7000000US22051000024","24, Jefferson Parish, Louisiana","902","873","29"
"7000000US22051000025","25, Jefferson Parish, Louisiana","738","707","31"
"7000000US22051000026","26, Jefferson Parish, Louisiana","1104","1020","84"
"7000000US22051000027","27, Jefferson Parish, Louisiana","2017","1805","212"
"7000000US22051000028","28, Jefferson Parish, Louisiana","726","616","110"
"7000000US22051000029","29, Jefferson Parish, Louisiana","519","464","55"
"7000000US22051000030","30, Jefferson Parish, Louisiana","637","595","42"
"7000000US22051000031","31, Jefferson Parish, Louisiana","649","629","20"
"7000000US22051000032","32, Jefferson Parish, Louisiana","532","493","39"
"7000000US22051000033","33, Jefferson Parish, Louisiana","896","791","105"
"7000000US22051000034","34, Jefferson Parish, Louisiana","439","408","31"
"7000000US22051000035","35, Jefferson Parish, Louisiana","355","338","17"
"7000000US22051000036","36, Jefferson Parish, Louisiana","300","269","31"
"7000000US22051000037","37, Jefferson Parish, Louisiana","447","429","18"
"7000000US22051000038","38, Jefferson Parish, Louisiana","590","543","47"
"7000000US22051000039","39, Jefferson Parish, Louisiana","477","465","12"
"7000000US22051000040","40, Jefferson Parish, Louisiana","362","341","21"
"7000000US22051000041","41, Jefferson Parish, Louisiana","465","425","40"
"7000000US22051000042","42, Jefferson Parish, Louisiana","655","612","43"
"7000000US22051000043","43, Jefferson Parish, Louisiana","550","528","22"
"7000000US22051000044","44, Jefferson Parish, Louisiana","1123","1041","82"
"7000000US22051000045","45, Jefferson Parish, Louisiana","1124","1020","104"
"7000000US22051000046","46, Jefferson Parish, Louisiana","815","765","50"
"7000000US22051000051","51, Jefferson Parish, Louisiana","842","823","19"
"7000000US22051000052","52, Jefferson Parish, Louisiana","906","863","43"
"7000000US22051000053","53, Jefferson Parish, Louisiana","447","441","6"
"7000000US22051000054","54, Jefferson Parish, Louisiana","477","466","11"
"7000000US22051000055","55, Jefferson Parish, Louisiana","619","598","21"
