"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US220710001-1","1-1, Orleans Parish, Louisiana","1069","877","192"
"7000000US220710001-2","1-2, Orleans Parish, Louisiana","390","314","76"
"7000000US220710001-5","1-5, Orleans Parish, Louisiana","748","578","170"
"7000000US220710001-6","1-6, Orleans Parish, Louisiana","553","447","106"
"7000000US220710002-1","2-1, Orleans Parish, Louisiana","1339","988","351"
"7000000US220710002-2","2-2, Orleans Parish, Louisiana","1026","670","356"
"7000000US220710002-4","2-4, Orleans Parish, Louisiana","916","832","84"
"7000000US220710002-6","2-6, Orleans Parish, Louisiana","174","152","22"
"7000000US220710002-7","2-7, Orleans Parish, Louisiana","669","572","97"
"7000000US220710003-1","3-1, Orleans Parish, Louisiana","3512","2181","1331"
"7000000US220710003-8","3-8, Orleans Parish, Louisiana","1532","1363","169"
"7000000US220710003-9","3-9, Orleans Parish, Louisiana","539","461","78"
"7000000US220710004-2","4-2, Orleans Parish, Louisiana","1874","1326","548"
"7000000US220710004-3","4-3, Orleans Parish, Louisiana","934","704","230"
"7000000US220710004-5","4-5, Orleans Parish, Louisiana","308","284","24"
"7000000US220710004-6","4-6, Orleans Parish, Louisiana","313","269","44"
"7000000US220710004-7","4-7, Orleans Parish, Louisiana","323","300","23"
"7000000US220710004-8","4-8, Orleans Parish, Louisiana","521","460","61"
"7000000US220710004-9","4-9, Orleans Parish, Louisiana","935","882","53"
"7000000US220710005-1","5-1, Orleans Parish, Louisiana","779","383","396"
"7000000US220710005-2","5-2, Orleans Parish, Louisiana","651","353","298"
"7000000US220710005-3","5-3, Orleans Parish, Louisiana","994","532","462"
"7000000US220710005-5","5-5, Orleans Parish, Louisiana","630","503","127"
"7000000US220710005-7","5-7, Orleans Parish, Louisiana","605","514","91"
"7000000US220710005-8","5-8, Orleans Parish, Louisiana","419","359","60"
"7000000US220710005-9","5-9, Orleans Parish, Louisiana","331","278","53"
"7000000US220710006-1","6-1, Orleans Parish, Louisiana","939","498","441"
"7000000US220710006-2","6-2, Orleans Parish, Louisiana","818","455","363"
"7000000US220710006-4","6-4, Orleans Parish, Louisiana","524","398","126"
"7000000US220710006-6","6-6, Orleans Parish, Louisiana","956","735","221"
"7000000US220710006-7","6-7, Orleans Parish, Louisiana","352","273","79"
"7000000US220710006-8","6-8, Orleans Parish, Louisiana","374","348","26"
"7000000US220710006-9","6-9, Orleans Parish, Louisiana","467","411","56"
"7000000US220710007-1","7-1, Orleans Parish, Louisiana","869","566","303"
"7000000US220710007-2","7-2, Orleans Parish, Louisiana","765","519","246"
"7000000US220710007-4","7-4, Orleans Parish, Louisiana","376","300","76"
"7000000US220710007-5","7-5, Orleans Parish, Louisiana","643","473","170"
"7000000US220710007-6","7-6, Orleans Parish, Louisiana","543","426","117"
"7000000US220710007-7","7-7, Orleans Parish, Louisiana","452","368","84"
"7000000US220710007-8","7-8, Orleans Parish, Louisiana","714","572","142"
"7000000US220710008-1","8-1, Orleans Parish, Louisiana","523","411","112"
"7000000US220710008-2","8-2, Orleans Parish, Louisiana","522","406","116"
"7000000US220710008-4","8-4, Orleans Parish, Louisiana","375","285","90"
"7000000US220710008-6","8-6, Orleans Parish, Louisiana","615","504","111"
"7000000US220710008-7","8-7, Orleans Parish, Louisiana","340","250","90"
"7000000US220710008-8","8-8, Orleans Parish, Louisiana","444","365","79"
"7000000US220710008-9","8-9, Orleans Parish, Louisiana","663","552","111"
"7000000US220710009-1","9-1, Orleans Parish, Louisiana","959","771","188"
"7000000US220710009-3","9-3, Orleans Parish, Louisiana","537","455","82"
"7000000US220710009-4","9-4, Orleans Parish, Louisiana","396","350","46"
"7000000US220710009-5","9-5, Orleans Parish, Louisiana","558","452","106"
"7000000US220710009-6","9-6, Orleans Parish, Louisiana","648","573","75"
