"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US220750001-1","1-1, Plaquemines Parish, Louisiana","215","132","83"
"7000000US220750001-2","1-2, Plaquemines Parish, Louisiana","200","175","25"
"7000000US220750001-3","1-3, Plaquemines Parish, Louisiana","257","199","58"
"7000000US220750002-1","2-1, Plaquemines Parish, Louisiana","651","638","13"
"7000000US220750002-2","2-2, Plaquemines Parish, Louisiana","533","504","29"
"7000000US220750003-1","3-1, Plaquemines Parish, Louisiana","1095","1060","35"
"7000000US220750004-1","4-1, Plaquemines Parish, Louisiana","375","357","18"
"7000000US220750004-2","4-2, Plaquemines Parish, Louisiana","759","715","44"
"7000000US220750005-1","5-1, Plaquemines Parish, Louisiana","442","406","36"
"7000000US220750005-2","5-2, Plaquemines Parish, Louisiana","647","603","44"
"7000000US220750006-1","6-1, Plaquemines Parish, Louisiana","663","577","86"
"7000000US220750006-2","6-2, Plaquemines Parish, Louisiana","379","338","41"
"7000000US220750007-1","7-1, Plaquemines Parish, Louisiana","459","312","147"
"7000000US220750007-2","7-2, Plaquemines Parish, Louisiana","599","473","126"
"7000000US220750008-1","8-1, Plaquemines Parish, Louisiana","474","435","39"
"7000000US220750008-2","8-2, Plaquemines Parish, Louisiana","369","295","74"
"7000000US220750008-3","8-3, Plaquemines Parish, Louisiana","197","164","33"
"7000000US220750009-1","9-1, Plaquemines Parish, Louisiana","641","478","163"
"7000000US220750009-2","9-2, Plaquemines Parish, Louisiana","492","329","163"
