"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US22087000010","10, St. Bernard Parish, Louisiana","468","445","23"
"7000000US22087000011","11, St. Bernard Parish, Louisiana","721","623","98"
"7000000US22087000012","12, St. Bernard Parish, Louisiana","432","383","49"
"7000000US22087000013","13, St. Bernard Parish, Louisiana","919","873","46"
"7000000US22087000014","14, St. Bernard Parish, Louisiana","767","688","79"
"7000000US22087000015","15, St. Bernard Parish, Louisiana","592","556","36"
"7000000US22087000020","20, St. Bernard Parish, Louisiana","518","467","51"
"7000000US22087000021","21, St. Bernard Parish, Louisiana","385","370","15"
"7000000US22087000022","22, St. Bernard Parish, Louisiana","652","620","32"
"7000000US22087000023","23, St. Bernard Parish, Louisiana","435","426","9"
"7000000US22087000024","24, St. Bernard Parish, Louisiana","941","856","85"
"7000000US22087000025","25, St. Bernard Parish, Louisiana","551","512","39"
"7000000US22087000030","30, St. Bernard Parish, Louisiana","842","789","53"
"7000000US22087000031","31, St. Bernard Parish, Louisiana","722","676","46"
"7000000US22087000032","32, St. Bernard Parish, Louisiana","1017","983","34"
"7000000US22087000033","33, St. Bernard Parish, Louisiana","457","441","16"
"7000000US22087000034","34, St. Bernard Parish, Louisiana","169","169","0"
"7000000US22087000040","40, St. Bernard Parish, Louisiana","290","266","24"
"7000000US22087000041","41, St. Bernard Parish, Louisiana","536","510","26"
"7000000US22087000042","42, St. Bernard Parish, Louisiana","439","431","8"
"7000000US22087000043","43, St. Bernard Parish, Louisiana","356","335","21"
"7000000US22087000044","44, St. Bernard Parish, Louisiana","700","665","35"
"7000000US22087000045","45, St. Bernard Parish, Louisiana","301","284","17"
"7000000US22087000046","46, St. Bernard Parish, Louisiana","245","232","13"
"7000000US22087000050","50, St. Bernard Parish, Louisiana","670","605","65"
"7000000US22087000051","51, St. Bernard Parish, Louisiana","561","298","263"
"7000000US22087000052","52, St. Bernard Parish, Louisiana","600","570","30"
"7000000US22087000053","53, St. Bernard Parish, Louisiana","245","210","35"
"7000000US22087000054","54, St. Bernard Parish, Louisiana","599","557","42"
"7000000US22087000055","55, St. Bernard Parish, Louisiana","847","753","94"
"7000000US2208700042A","42A, St. Bernard Parish, Louisiana","665","630","35"
