"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US220890001-1","1-1, St. Charles Parish, Louisiana","291","265","26"
"7000000US220890001-2","1-2, St. Charles Parish, Louisiana","674","569","105"
"7000000US220890001-3","1-3, St. Charles Parish, Louisiana","709","659","50"
"7000000US220890001-5","1-5, St. Charles Parish, Louisiana","367","335","32"
"7000000US220890001-6","1-6, St. Charles Parish, Louisiana","655","631","24"
"7000000US220890002-1","2-1, St. Charles Parish, Louisiana","320","264","56"
"7000000US220890002-2","2-2, St. Charles Parish, Louisiana","358","322","36"
"7000000US220890002-3","2-3, St. Charles Parish, Louisiana","541","516","25"
"7000000US220890002-4","2-4, St. Charles Parish, Louisiana","543","500","43"
"7000000US220890002-5","2-5, St. Charles Parish, Louisiana","876","868","8"
"7000000US220890002-6","2-6, St. Charles Parish, Louisiana","247","234","13"
"7000000US220890003-1","3-1, St. Charles Parish, Louisiana","1130","1097","33"
"7000000US220890003-2","3-2, St. Charles Parish, Louisiana","1223","1174","49"
"7000000US220890003-3","3-3, St. Charles Parish, Louisiana","588","566","22"
"7000000US220890004-1","4-1, St. Charles Parish, Louisiana","816","700","116"
"7000000US220890004-2","4-2, St. Charles Parish, Louisiana","834","778","56"
"7000000US220890004-3","4-3, St. Charles Parish, Louisiana","462","414","48"
"7000000US220890004-4","4-4, St. Charles Parish, Louisiana","710","670","40"
"7000000US220890005-1","5-1, St. Charles Parish, Louisiana","637","588","49"
"7000000US220890005-3","5-3, St. Charles Parish, Louisiana","465","441","24"
"7000000US220890005-4","5-4, St. Charles Parish, Louisiana","1034","1000","34"
"7000000US220890005-5","5-5, St. Charles Parish, Louisiana","759","708","51"
"7000000US220890006-1","6-1, St. Charles Parish, Louisiana","769","745","24"
"7000000US220890006-2","6-2, St. Charles Parish, Louisiana","1030","967","63"
"7000000US220890006-4","6-4, St. Charles Parish, Louisiana","365","318","47"
"7000000US220890006-6","6-6, St. Charles Parish, Louisiana","243","198","45"
"7000000US220890006-7","6-7, St. Charles Parish, Louisiana","405","379","26"
"7000000US220890006-8","6-8, St. Charles Parish, Louisiana","320","301","19"
"7000000US220890007-1","7-1, St. Charles Parish, Louisiana","230","223","7"
"7000000US220890007-2","7-2, St. Charles Parish, Louisiana","768","750","18"
"7000000US220890007-3","7-3, St. Charles Parish, Louisiana","1114","1087","27"
"7000000US220890007-4","7-4, St. Charles Parish, Louisiana","962","920","42"
"7000000US22089ZZZZZZ","Voting Districts Not Defined, St. Charles Parish, Louisiana","0","0","0"
"7000000US22103000101","101, St. Tammany Parish, Louisiana","805","719","86"
"7000000US22103000102","102, St. Tammany Parish, Louisiana","803","749","54"
"7000000US22103000103","103, St. Tammany Parish, Louisiana","711","670","41"
"7000000US22103000104","104, St. Tammany Parish, Louisiana","444","428","16"
"7000000US22103000105","105, St. Tammany Parish, Louisiana","670","604","66"
"7000000US22103000106","106, St. Tammany Parish, Louisiana","1078","1023","55"
"7000000US22103000107","107, St. Tammany Parish, Louisiana","705","670","35"
"7000000US22103000108","108, St. Tammany Parish, Louisiana","307","299","8"
"7000000US22103000110","110, St. Tammany Parish, Louisiana","1065","901","164"
"7000000US22103000111","111, St. Tammany Parish, Louisiana","783","753","30"
"7000000US22103000112","112, St. Tammany Parish, Louisiana","669","633","36"
"7000000US22103000113","113, St. Tammany Parish, Louisiana","804","691","113"
"7000000US22103000114","114, St. Tammany Parish, Louisiana","672","642","30"
"7000000US22103000115","115, St. Tammany Parish, Louisiana","644","613","31"
"7000000US22103000116","116, St. Tammany Parish, Louisiana","440","417","23"
"7000000US22103000118","118, St. Tammany Parish, Louisiana","788","740","48"
"7000000US22103000201","201, St. Tammany Parish, Louisiana","638","566","72"
"7000000US22103000202","202, St. Tammany Parish, Louisiana","605","553","52"
"7000000US22103000203","203, St. Tammany Parish, Louisiana","1008","915","93"
"7000000US22103000204","204, St. Tammany Parish, Louisiana","578","523","55"
"7000000US22103000205","205, St. Tammany Parish, Louisiana","782","709","73"
"7000000US22103000206","206, St. Tammany Parish, Louisiana","536","498","38"
"7000000US22103000207","207, St. Tammany Parish, Louisiana","419","381","38"
"7000000US22103000301","301, St. Tammany Parish, Louisiana","676","640","36"
"7000000US22103000302","302, St. Tammany Parish, Louisiana","765","712","53"
"7000000US22103000303","303, St. Tammany Parish, Louisiana","856","828","28"
"7000000US22103000304","304, St. Tammany Parish, Louisiana","953","868","85"
"7000000US22103000305","305, St. Tammany Parish, Louisiana","819","745","74"
"7000000US22103000306","306, St. Tammany Parish, Louisiana","459","448","11"
"7000000US22103000307","307, St. Tammany Parish, Louisiana","1031","991","40"
"7000000US22103000308","308, St. Tammany Parish, Louisiana","458","425","33"
"7000000US22103000309","309, St. Tammany Parish, Louisiana","665","638","27"
"7000000US22103000310","310, St. Tammany Parish, Louisiana","1307","1026","281"
"7000000US22103000312","312, St. Tammany Parish, Louisiana","1847","1687","160"
"7000000US22103000313","313, St. Tammany Parish, Louisiana","745","713","32"
"7000000US22103000314","314, St. Tammany Parish, Louisiana","891","826","65"
"7000000US22103000401","401, St. Tammany Parish, Louisiana","877","798","79"
"7000000US22103000402","402, St. Tammany Parish, Louisiana","537","477","60"
"7000000US22103000403","403, St. Tammany Parish, Louisiana","958","876","82"
"7000000US22103000404","404, St. Tammany Parish, Louisiana","450","445","5"
"7000000US22103000405","405, St. Tammany Parish, Louisiana","719","616","103"
"7000000US22103000406","406, St. Tammany Parish, Louisiana","541","518","23"
"7000000US22103000407","407, St. Tammany Parish, Louisiana","463","461","2"
"7000000US22103000408","408, St. Tammany Parish, Louisiana","855","828","27"
"7000000US22103000409","409, St. Tammany Parish, Louisiana","734","684","50"
"7000000US22103000410","410, St. Tammany Parish, Louisiana","775","751","24"
"7000000US22103000411","411, St. Tammany Parish, Louisiana","607","599","8"
"7000000US22103000412","412, St. Tammany Parish, Louisiana","583","574","9"
"7000000US22103000413","413, St. Tammany Parish, Louisiana","805","747","58"
"7000000US22103000414","414, St. Tammany Parish, Louisiana","562","552","10"
"7000000US22103000415","415, St. Tammany Parish, Louisiana","339","332","7"
"7000000US22103000416","416, St. Tammany Parish, Louisiana","346","333","13"
"7000000US22103000417","417, St. Tammany Parish, Louisiana","638","582","56"
"7000000US22103000418","418, St. Tammany Parish, Louisiana","466","445","21"
"7000000US22103000419","419, St. Tammany Parish, Louisiana","464","447","17"
"7000000US22103000420","420, St. Tammany Parish, Louisiana","575","549","26"
"7000000US22103000421","421, St. Tammany Parish, Louisiana","451","443","8"
"7000000US22103000422","422, St. Tammany Parish, Louisiana","377","363","14"
"7000000US22103000426","426, St. Tammany Parish, Louisiana","444","440","4"
"7000000US22103000427","427, St. Tammany Parish, Louisiana","336","323","13"
"7000000US22103000429","429, St. Tammany Parish, Louisiana","549","518","31"
"7000000US22103000430","430, St. Tammany Parish, Louisiana","687","646","41"
"7000000US22103000501","501, St. Tammany Parish, Louisiana","331","266","65"
"7000000US22103000502","502, St. Tammany Parish, Louisiana","772","705","67"
"7000000US22103000503","503, St. Tammany Parish, Louisiana","639","583","56"
"7000000US22103000504","504, St. Tammany Parish, Louisiana","480","436","44"
"7000000US22103000505","505, St. Tammany Parish, Louisiana","713","665","48"
"7000000US22103000601","601, St. Tammany Parish, Louisiana","481","443","38"
"7000000US22103000602","602, St. Tammany Parish, Louisiana","600","503","97"
"7000000US22103000603","603, St. Tammany Parish, Louisiana","646","585","61"
"7000000US22103000604","604, St. Tammany Parish, Louisiana","521","474","47"
"7000000US22103000605","605, St. Tammany Parish, Louisiana","263","240","23"
"7000000US22103000606","606, St. Tammany Parish, Louisiana","668","604","64"
"7000000US22103000609","609, St. Tammany Parish, Louisiana","35","33","2"
