"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US220950001-1","1-1, St. John the Baptist Parish, Louisiana","163","91","72"
"7000000US220950001-2","1-2, St. John the Baptist Parish, Louisiana","518","403","115"
"7000000US220950001-3","1-3, St. John the Baptist Parish, Louisiana","747","670","77"
"7000000US220950001-4","1-4, St. John the Baptist Parish, Louisiana","610","445","165"
"7000000US220950001-5","1-5, St. John the Baptist Parish, Louisiana","509","399","110"
"7000000US220950002-1","2-1, St. John the Baptist Parish, Louisiana","518","404","114"
"7000000US220950002-2","2-2, St. John the Baptist Parish, Louisiana","500","433","67"
"7000000US220950002-3","2-3, St. John the Baptist Parish, Louisiana","831","749","82"
"7000000US220950002-4","2-4, St. John the Baptist Parish, Louisiana","601","511","90"
"7000000US220950003-1","3-1, St. John the Baptist Parish, Louisiana","416","359","57"
"7000000US220950003-2","3-2, St. John the Baptist Parish, Louisiana","912","764","148"
"7000000US220950003-4","3-4, St. John the Baptist Parish, Louisiana","925","871","54"
"7000000US220950004-1","4-1, St. John the Baptist Parish, Louisiana","347","310","37"
"7000000US220950004-2","4-2, St. John the Baptist Parish, Louisiana","740","710","30"
"7000000US220950004-3","4-3, St. John the Baptist Parish, Louisiana","724","675","49"
"7000000US220950005-1","5-1, St. John the Baptist Parish, Louisiana","909","883","26"
"7000000US220950005-4","5-4, St. John the Baptist Parish, Louisiana","1502","1201","301"
"7000000US220950005-7","5-7, St. John the Baptist Parish, Louisiana","406","330","76"
"7000000US220950005-8","5-8, St. John the Baptist Parish, Louisiana","185","183","2"
"7000000US220950006-1","6-1, St. John the Baptist Parish, Louisiana","622","579","43"
"7000000US220950006-3","6-3, St. John the Baptist Parish, Louisiana","768","721","47"
"7000000US220950006-4","6-4, St. John the Baptist Parish, Louisiana","946","896","50"
"7000000US220950007-2","7-2, St. John the Baptist Parish, Louisiana","1189","1133","56"
"7000000US220950007-3","7-3, St. John the Baptist Parish, Louisiana","356","355","1"
"7000000US220950007-5","7-5, St. John the Baptist Parish, Louisiana","878","834","44"
"7000000US220950007-7","7-7, St. John the Baptist Parish, Louisiana","342","337","5"
"7000000US22095004-13","4-13, St. John the Baptist Parish, Louisiana","1","1","0"
"7000000US22095004-14","4-14, St. John the Baptist Parish, Louisiana","573","556","17"
"7000000US22095ZZZZZZ","Voting Districts Not Defined, St. John the Baptist Parish, Louisiana","0","0","0"
