"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"620L200US22001","State House District 1 (2010), Louisiana","17584","595","74.3","1.7","24.2","1.6","0.5","0.3","0.1","0.2","0.0","0.2","0.3","0.2","0.7","0.3","0.6","0.4","73.9","1.8","3.1","0.9","28.3","2.1","44.2","2.1","24.4","1.6","12030","452","36.9","2.5","63.1","2.5","70.8","2.5","23.8","2.3","5.4","1.3","5554","618","54.8","4.4","52.4","4.5","2.5","1.2","45.2","4.4","39.1","4.2","6.1","2.3","26.8","(X)","27.8","(X)","23.1","(X)","38958","2270","44184","2252","24132","3451","21350","10991","16912","34816","-","**","47500","26266","22778","9874","37917","32976","44275","2280","16786","10421","45457","8782","44842","2854","25299","3304","49679","3006","37002","6258","54015","3732","61748","3617","20589","2892","35443","8006","20605","1827","16991","2031","16198","2050","47292","18265","26745","3583","24917","5210","47949","9395","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22002","State House District 2 (2010), Louisiana","13391","501","25.6","2.2","71.0","2.2","0.2","0.2","0.4","0.3","0.0","0.3","1.5","0.9","1.3","0.5","2.6","1.2","24.5","2.1","5.0","1.4","34.2","2.7","38.4","2.5","22.4","2.0","6804","369","41.6","3.6","58.4","3.6","41.3","3.9","49.4","3.9","9.4","3.0","6587","472","50.2","4.1","44.8","4.2","5.4","2.1","49.8","4.1","42.7","4.2","7.2","2.2","33.4","(X)","37.1","(X)","29.4","(X)","22540","1825","35909","4829","19433","1543","9583","16063","37440","23405","-","**","16552","22786","25234","20246","39221","26281","34366","3960","17653","4030","25190","2423","24644","2822","17964","1869","28987","2070","21550","2744","35974","2920","42133","4877","20000","2598","43500","14597","17004","1292","15507","1446","14420","1707","32623","7856","19378","2632","17538","3077","29750","17847","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22003","State House District 3 (2010), Louisiana","13829","457","10.4","1.3","87.6","1.4","0.4","0.4","0.2","0.3","0.0","0.3","0.3","0.4","1.0","0.4","1.0","0.5","10.3","1.3","5.4","1.4","37.5","2.5","37.2","2.4","19.9","1.5","9109","481","45.2","3.7","54.8","3.7","35.4","3.5","53.1","3.4","11.5","2.9","4720","432","57.2","5.1","53.3","5.0","3.9","1.2","42.8","5.1","36.1","4.7","6.6","3.0","36.1","(X)","38.5","(X)","29.2","(X)","23668","1263","27406","6881","23374","1454","9191","15237","-","**","-","**","16389","720","29063","16155","15347","7145","28317","6788","10682","1888","25409","3177","26299","3091","20197","2198","28658","3226","23246","3215","34181","2951","43887","2642","20934","1508","26850","7490","15355","1966","14212","1801","14103","1873","21406","16463","19005","4866","17422","5022","22215","15361","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22004","State House District 4 (2010), Louisiana","15974","457","28.8","1.8","68.3","1.7","0.2","0.3","1.3","0.8","0.0","0.2","0.6","0.4","0.7","0.4","1.3","0.5","28.3","1.8","4.4","1.1","34.1","2.1","37.9","2.3","23.6","1.7","9952","514","43.1","3.5","56.9","3.5","52.6","3.3","39.2","3.0","8.3","2.3","6022","451","56.4","4.4","50.8","4.3","5.6","2.0","43.6","4.4","38.6","4.7","4.9","2.0","29.0","(X)","30.4","(X)","25.9","(X)","32236","1920","46645","6217","28092","2060","-","**","69545","102727","-","**","55921","23017","28672","5779","63846","17042","45461","6295","12966","1774","31449","2925","47229","5715","24685","3902","43656","3463","27143","3148","53214","3903","67035","3462","23906","3225","27455","7296","21299","1312","21148","1770","20425","2560","48158","10159","21479","4015","20555","4577","33250","23518","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22005","State House District 5 (2010), Louisiana","17855","459","73.5","2.0","21.5","2.1","0.5","0.4","2.0","0.6","0.0","0.1","1.0","0.7","1.5","0.8","2.4","0.9","72.5","2.2","6.3","1.2","34.8","2.0","36.5","2.0","22.5","1.4","11438","511","45.4","3.1","54.6","3.1","74.8","2.9","19.4","2.4","5.9","1.5","6417","455","64.3","4.3","56.5","4.3","7.8","2.5","35.7","4.3","30.4","4.4","5.3","2.5","24.2","(X)","25.6","(X)","20.8","(X)","50908","2546","56118","4009","36086","3591","16864","35537","80333","53922","35000","39846","30823","9363","29338","3570","24615","16007","56303","4048","21433","6474","53848","3462","64574","6759","40254","4228","67500","5152","63536","8154","69918","6246","82664","8500","29828","5458","42632","16383","29495","2609","26333","3315","23710","4303","43125","13972","32341","6668","30703","2609","51354","4369","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22006","State House District 6 (2010), Louisiana","19220","546","81.9","1.8","13.5","1.6","0.1","0.1","2.5","0.7","0.0","0.2","1.2","0.6","0.7","0.4","2.9","0.9","80.3","1.9","6.4","1.3","35.9","2.2","34.1","2.0","23.6","1.4","11025","584","46.2","2.7","53.8","2.7","73.8","2.6","20.5","2.4","5.7","1.7","8195","568","51.7","4.1","46.3","3.9","5.3","1.7","48.3","4.1","40.5","4.2","7.9","2.0","24.1","(X)","24.7","(X)","22.6","(X)","55310","3452","61445","2933","32184","6571","93750","166139","33958","13358","-","**","25500","26615","28409","62872","39625","31476","61276","2827","29869","6840","60304","4382","68953","3931","40299","6038","71347","3658","65956","6376","74159","3982","83279","3368","42500","3838","46708","6850","32282","2767","29645","2876","28851","2460","45574","9410","34669","4827","33454","3905","58571","36326","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22007","State House District 7 (2010), Louisiana","16514","392","66.8","1.5","30.6","1.4","0.5","0.3","0.5","0.3","0.0","0.2","0.4","0.3","1.2","0.5","1.6","0.5","65.9","1.6","2.6","0.8","31.2","1.6","43.6","1.7","22.6","1.2","11699","452","42.6","2.4","57.4","2.4","70.7","2.8","22.3","2.5","7.0","1.6","4815","415","60.2","4.3","54.0","4.3","6.2","2.0","39.8","4.3","35.8","3.6","4.0","1.9","26.0","(X)","26.5","(X)","22.8","(X)","45668","2890","56001","3086","24484","2370","29167","37077","62740","24305","-","**","26520","751","38836","6242","34762","12717","55924","3089","17472","9110","53379","6441","51073","4019","33834","2719","55737","3380","54919","8308","56014","2904","66931","3540","24353","3482","35921","7712","22952","2410","21153","2354","18649","3476","46023","28261","26875","5020","23897","4713","52917","21996","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22008","State House District 8 (2010), Louisiana","19278","547","81.0","1.7","16.8","1.5","0.5","0.3","0.6","0.4","0.1","0.1","0.6","0.4","0.4","0.2","3.8","1.3","77.9","1.9","6.2","1.2","38.6","1.8","34.1","1.7","21.1","1.2","13110","547","48.2","2.8","51.8","2.8","75.1","2.7","17.9","2.6","6.9","1.5","6168","495","55.9","4.3","51.0","4.2","4.9","1.9","44.1","4.3","35.4","3.8","8.7","3.2","20.1","(X)","20.9","(X)","17.1","(X)","55315","3127","60616","2902","33664","5355","29338","60331","72120","30538","-","**","32282","12233","32885","13352","39836","16545","60783","2864","27705","4553","57799","5458","73619","4384","43876","3558","68294","4286","60550","4751","73758","4243","80632","4648","28798","5652","57468","8599","34151","3599","28004","3856","27250","3941","43125","19396","43186","4330","38416","3737","67596","13208","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22009","State House District 9 (2010), Louisiana","16768","453","76.5","1.8","20.8","1.7","0.4","0.3","1.1","0.6","0.0","0.2","0.5","0.4","0.7","0.4","2.7","1.1","74.3","2.1","3.9","1.2","37.1","2.3","39.2","2.2","19.8","1.5","11882","560","44.6","2.9","55.4","2.9","71.9","3.4","20.8","2.7","7.4","1.9","4886","511","56.2","4.9","49.4","4.8","6.9","2.9","43.8","4.9","36.7","5.0","7.1","2.7","24.0","(X)","22.6","(X)","21.4","(X)","48627","3436","54819","3136","26855","4210","33854","1231","42907","42292","-","**","68482","60996","29063","12784","29721","49887","55119","3115","27470","5908","53445","3965","54938","6406","33033","4223","59972","5330","54877","10343","62283","5305","72943","6792","27826","5492","41094","5128","23031","2071","16544","1476","15632","1616","43488","11792","31429","8283","28620","7145","56603","17453","(X)","(X)","(X)","(X)","(X)","(X)"
