HWM ID,Parish,Flood Type,HWM Flood Elevation - NAVD88,Survey Latitude,Survey Longitude,HWM Report Sheet Number
KLAC-01-18,Orleans,Levee - Break,2.6,29.993873,-90.100315,Orleans-1
KLAC-01-19,Orleans,Levee - Break,2.6,29.993859,-90.117045,Orleans-2
KLAC-01-20,Orleans,Levee - Break,0.7,29.986634,-90.102085,Orleans-3
KLAC-01-21,Orleans,Levee - Break,2.4,29.986863,-90.087302,Orleans-4
KLAC-01-22,Orleans,Levee - Break,2.1,29.991654,-90.084224,Orleans-5
KLAC-01-23,Orleans,Levee - Break,2.4,29.972796,-90.091926,Orleans-6
KLAC-01-24,Orleans,Levee - Break,1.8,29.991871,-90.076471,Orleans-7
KLAC-01-25,Orleans,Levee - Break,2.8,29.978922,-90.067231,Orleans-8
KLAC-01-26,Orleans,Levee - Break,2.4,29.968307,-90.066752,Orleans-9
KLAC-01-27,Orleans,Levee - Break,2.4,29.979253,-90.075412,Orleans-10
KLAC-01-28,Orleans,Levee - Break,2.7,29.987004,-90.082823,Orleans-11
KLAC-01-29,Orleans,Levee - Break,3.1,29.984352,-90.122208,Orleans-12
KLAC-01-30,Orleans,Levee - Break,2.5,29.94219,-90.084509,Orleans-13
KLAC-01-31,Orleans,Levee - Break,1.2,29.93639,-90.088888,Orleans-14
KLAC-01-32,Orleans,Levee - Break,2.6,29.927393,-90.094766,Orleans-15
KLAC-01-33,Orleans,Levee - Break,2.3,29.942651,-90.07796,Orleans-16
KLAC-01-34,Orleans,Levee - Break,7.2,29.960985,-90.020957,Orleans-17
KLAC-01-35,Orleans,Levee - Break,10.3,29.953198,-90.010822,Orleans-18
KLAC-01-39,Orleans,Levee - Break,7.5,29.962709,-90.013226,Orleans-19
KLAC-01-40,Orleans,Levee - Break,8.7,29.954032,-90.015063,Orleans-20
KLAC-02-10,Orleans,Levee - Break,2.1,29.990358,-90.11005,Orleans-21
KLAC-02-11,Orleans,Levee - Break,1.9,29.985831,-90.110528,Orleans-22
KLAC-02-12,Orleans,Levee - Break,2.9,30.018905,-90.095364,Orleans-23
KLAC-02-13,Orleans,Levee - Break,1.6,30.01902,-90.097882,Orleans-24
KLAC-02-14,Orleans,Levee - Break,1.4,30.023763,-90.097788,Orleans-25
KLAC-02-15,Orleans,Levee - Break,2.2,30.021567,-90.112928,Orleans-26
KLAC-02-16,Orleans,Coastal - Wave Runup,10.7,30.023155,-90.113175,Orleans-27
KLAC-02-17,Orleans,Coastal - Wave Runup,14.5,30.026717,-90.108023,Orleans-28
KLAC-02-18,Orleans,Coastal - Wave Runup,12.9,30.027252,-90.098456,Orleans-29
KLAC-02-19,Orleans,Levee - Break,2.3,-90.111054,,Orleans-30
KLAC-02-20,Orleans,Levee - Break,1.8,30.021737,-90.099432,Orleans-31
KLAC-02-21,Orleans,Levee - Break,1.7,30.019575,-90.098801,Orleans-32
KLAC-02-22,Orleans,Coastal Wave Runup,12.6,30.027855,-90.089186,Orleans-33
KLAC-02-23,Orleans,Levee - Break,2.2,29.94129,-90.123572,Orleans-34
